Zaaknummer;Straat;Huisnummer;Huisletter;Toevoeging;Postcode;Plaats;Adres;Kamer;Wetsartikel;"Inhoud uitspraak";"Leges uitspraak";"Datum afdoening";"Type woonruimte";"Huurprijs voor uitspraak";"Huurprijs na uitspraak";"Voorschot sk voor uitspraak";"Voorschot sk na uitspraak";"Bet.verpl. sk voor uitspraak";"Bet.verpl. sk na uitspraak";"Bet.verpl. sk voor uitspraak Bk2";"Bet.verpl. sk na uitspraak Bk2";"Bet.verpl. sk voor uitspraak Bk3";"Bet.verpl. sk na uitspraak Bk3";"Tijdelijk verlaagde huurprijs";;"Punten woonruimte";Verzoeker
168217;Europaweg;88;;B;7766AM;NIEUW-SCHOONEBEEK;"Europaweg 88 B, 7766AM NIEUW-SCHOONEBEEK";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Geen ernstige gebreken";"De wederpartij wordt in het gelijk gesteld";29-12-21;Zelfstandig;472,31;472,31;;;;;;;;;472,31;;;Huurder
77807;Peterhof;104;;;2201TJ;NOORDWIJK;"Peterhof 104, 2201TJ NOORDWIJK";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";27-12-21;Zelfstandig;710,68;;;;;;;;;;426,41;;;Huurder
82687;Werfstraat;185;;;2586AX;"DEN HAAG";"Werfstraat 185, 2586AX DEN HAAG";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Gebreken geheel verholpen";"De wederpartij wordt in het gelijk gesteld";27-12-21;Zelfstandig;606,93;;;;;;;;;;;;;Huurder
80052;Kloosterstraat;5;;;5301BM;ZALTBOMMEL;"Kloosterstraat 5, 5301BM ZALTBOMMEL";;"Huurverlaging op grond van punten (art. 7:254 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";27-12-21;Zelfstandig;690,00;678,47;;;;;;;;;;;134;Huurder
86604;Rosendaalsestraat;162;;6;6824CN;ARNHEM;"Rosendaalsestraat 162 6, 6824CN ARNHEM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";27-12-21;Zelfstandig;230,88;;;;;;;;;;92,35;;;Huurder
104645;"Von Zesenstraat";167;;;1093DC;AMSTERDAM;"Von Zesenstraat 167, 1093DC AMSTERDAM";;"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";17-12-21;Zelfstandig;525,47;;;;;;;;;;420,38;;;Huurder
326061;"Rivierenlaan ";56;;;2641VX;PIJNACKER;"Rivierenlaan 56, 2641VX PIJNACKER";"KM 1ET AZ Oost";"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";27-12-21;Onzelfstandig;243,19;194,55;;;;;;;;;194,55;;;Huurder
326042;Rivierenlaan;56;;;2641VX;PIJNACKER;"Rivierenlaan 56, 2641VX PIJNACKER";"1ET AZ";"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";27-12-21;Onzelfstandig;265,00;159,00;;;;;;;;;159,00;;;Huurder
326063;Rivierenlaan;56;;;2641VX;PIJNACKER;"Rivierenlaan 56, 2641VX PIJNACKER";"KM VZ 1ET";"Huurverlaging op grond van onderhoudsgebreken (art. 7:257 BW)";"Wel ernstige gebreken";"De verzoeker wordt in het gelijk gesteld";27-12-21;Onzelfstandig;330,03;264,02;;;;;;;;;264,02;;;Huurder
333830;Nijlansdyk;189;;A;8931GE;LEEUWARDEN;"Nijlansdyk 189 A, 8931GE LEEUWARDEN";;"Toetsing aanvangshuurprijs (art. 7:249 BW)";"Huurprijs niet redelijk";"De verzoeker wordt in het gelijk gesteld";31-12-21;Zelfstandig;727,00;480,64;;;;;;;;;;;97;Huurder
