Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year,End,Code,Lat,Lon
9712CW,Complainer,365,"109,5",,Huurder,2018,CW,9712,53.2194,6.5601
2034RV,Complainer,,,,Huurder,2018,RV,2034,52.3586,4.6461
2034RV,Defendant,,,,Huurder,2019,RV,2034,52.3586,4.6461
3511BP,Complainer,,,,Huurder,2018,BP,3511,52.0954,5.1144
3511BP,Complainer,,,,Huurder,2018,BP,3511,52.0954,5.1144
3511BP,Defendant,330,330,,Huurder,2018,BP,3511,52.0954,5.1144
3523XC,Complainer,775,"426,25",,Huurder,2018,XC,3523,52.0693,5.1199
3523XC,Complainer,"925,00","455,68",,Huurder,2019,XC,3523,52.0693,5.1199
1057WZ,Defendant,"439,94","439,94",,Huurder,2018,WZ,1057,52.3699,4.8559
1065VS,Defendant,"455,68","455,68",,Huurder,2018,VS,1065,52.3596,4.8317
1071LZ,Defendant,"1050,73","1050,73",,Huurder,2018,LZ,1071,52.3551,4.8792
1056RZ,Defendant,"414,44","414,44",,Huurder,2018,RZ,1056,52.3716,4.8525
1082TL,Defendant,,,,Huurder,2018,TL,1082,52.3334,4.8777
1013LA,Complainer,,,,Huurder,2018,LA,1013,52.3876,4.8874
1013LA,Complainer,,,,Huurder,2018,LA,1013,52.3876,4.8874
1013LA,Complainer,"699,16","629,24",,Huurder,2018,LA,1013,52.3876,4.8874
2011NH,Defendant,,,,Huurder,2018,NH,2011,52.385,4.6387
1067CP,Defendant,,,,Huurder,2018,CP,1067,52.3814,4.8074
1071ZJ,Complainer,"688,98","413,39",,Huurder,2018,ZJ,1071,52.356,4.8737
1505AS,Defendant,"526,05","526,05",,Huurder,2018,AS,1505,52.4349,4.8394
2512XR,Complainer,"670,67","488,24",,Huurder,2018,XR,2512,52.0728,4.3133
2512XR,Complainer,,,,Huurder,2019,XR,2512,52.0728,4.3133
2033LL,Defendant,"371,64","371,64",,Huurder,2018,LL,2033,52.3711,4.6467
3014EB,Complainer,,,,Huurder,2018,EB,3014,51.9183,4.4634
3051LK,Complainer,"732,94","694,23",,Huurder,2018,LK,3051,51.9441,4.4731
3051LK,Complainer,"699,29","559,43",,Huurder,2019,LK,3051,51.9441,4.4731
3081BX,Defendant,"456,19","456,19",,Huurder,2018,BX,3081,51.8913,4.4914
3081BX,Complainer,"510,00","204,00","204,00",Huurder,2021,BX,3081,51.8913,4.4914
1061AZ,Defendant,715,715,,Huurder,2018,AZ,1061,52.3734,4.8365
1061AZ,Defendant,715,715,,Huurder,2018,AZ,1061,52.3734,4.8365
1183PT,Defendant,,,,Huurder,2018,PT,1183,52.2983,4.8782
1183PT,Defendant,,,,Huurder,2022,PT,1183,52.2983,4.8782
2711HG,Defendant,850,"714,97",,Huurder,2018,HG,2711,52.0613,4.4913
3085GT,Complainer,"544,98","544,98",,Huurder,2018,GT,3085,51.8746,4.4932
2511AG,Complainer,"531,95","159,59",,Huurder,2018,AG,2511,52.0776,4.3113
3114BS,Complainer,596,"357,6",,Huurder,2018,BS,3114,51.9071,4.4006
3022GB,Complainer,"569,74","455,79",,Huurder,2018,GB,3022,51.92,4.4466
3022GB,Defendant,640,640,,Huurder,2018,GB,3022,51.92,4.4466
3022GB,Complainer,"703,36","493,61",,Huurder,2019,GB,3022,51.92,4.4466
3214AC,Complainer,470,423,,Huurder,2018,AC,3214,51.8223,4.2589
3214AC,Complainer,,,,Huurder,2019,AC,3214,51.8223,4.2589
3214AC,Complainer,"423,00","470,00",,Verhuurder,2021,AC,3214,51.8223,4.2589
3073GG,Complainer,550,"388,27",,Huurder,2018,GG,3073,51.8949,4.4945
9712NK,Complainer,,,,Huurder,2018,NK,9712,53.2225,6.5645
9712NK,Defendant,630,630,,Huurder,2018,NK,9712,53.2225,6.5645
9712NK,Complainer,630,"383,08",,Huurder,2018,NK,9712,53.2225,6.5645
9712NK,Complainer,,,,Huurder,2019,NK,9712,53.2225,6.5645
1024VS,Defendant,1050,1050,,Huurder,2018,VS,1024,52.3941,4.9553
1024VS,Defendant,1050,1050,,Huurder,2018,VS,1024,52.3941,4.9553
1024VS,Defendant,1050,1050,,Huurder,2018,VS,1024,52.3941,4.9553
1024VS,Defendant,1100,1100,,Huurder,2018,VS,1024,52.3941,4.9553
3011TL,Complainer,"404,42","378,89",,Huurder,2018,TL,3011,51.9209,4.4985
5616NL,Defendant,"545,6","545,6",,Huurder,2018,NL,5616,51.4417,5.4605
3074ZN,Complainer,,,,Huurder,2018,ZN,3074,51.8979,4.5084
3074ZN,Complainer,,,,Huurder,2019,ZN,3074,51.8979,4.5084
8243KE,Defendant,638,638,,Huurder,2018,KE,8243,52.5055,5.4571
3035HC,Defendant,0,0,,Huurder,2018,HC,3035,51.9343,4.4842
3201WE,Complainer,"689,1","413,46",,Huurder,2018,WE,3201,51.8495,4.335
4531GZ,Complainer,"738,34","295,34",,Huurder,2018,GZ,4531,51.3378,3.8293
1071ZL,Complainer,"421,09","168,44",,Huurder,2018,ZL,1071,52.3556,4.872
2361XP,Complainer,650,"491,75",,Huurder,2018,XP,2361,52.1985,4.4982
2021BA,Complainer,600,"249,12",,Huurder,2018,BA,2021,52.393,4.6454
2021BA,Complainer,"700,00","385,00",,Huurder,2020,BA,2021,52.393,4.6454
2021BA,Complainer,"855,00","483,88",,Huurder,2021,BA,2021,52.393,4.6454
1054BR,Defendant,"535,99","535,99",,Huurder,2018,BR,1054,52.3645,4.8737
1054BR,Defendant,"384,14","384,19",,Huurder,2020,BR,1054,52.3645,4.8737
9724CX,Complainer,,,,Huurder,2018,CX,9724,53.2135,6.5747
9724CX,Complainer,"631,21","569,76",,Huurder,2018,CX,9724,53.2135,6.5747
9724CX,Complainer,,,,Huurder,2018,CX,9724,53.2135,6.5747
9724CX,Complainer,"636,38","559,4",,Huurder,2018,CX,9724,53.2135,6.5747
9724CX,Complainer,"628,21","564,57",,Huurder,2018,CX,9724,53.2135,6.5747
9724CX,Complainer,"615,21","585,31",,Huurder,2019,CX,9724,53.2135,6.5747
9724CX,Defendant,,,,Huurder,2019,CX,9724,53.2135,6.5747
