Zip,Winner
 7766AM,Defendant
 2201TJ,Complainer
 2586AX,Defendant
 5301BM,Complainer
 6824CN,Complainer
 1093DC,Complainer
 2641VX,Complainer
 2641VX,Complainer
 2641VX,Complainer
 8931GE,Complainer
 2312VG,Defendant
 1961GB,Defendant
 9714CC,Complainer
 1056TD,Defendant
 2512JJ,Defendant
 3081BX,Complainer
 2512VS,Defendant
 7766AM,Defendant
 1404DL,Defendant
 6229XP,Defendant
 3112AP,Complainer
 6222WD,Complainer
 3553SP,Complainer
 1068RP,Defendant
 7557DJ,Complainer
 7535AX,Defendant
 1171PC,Defendant
 9321XE,Complainer
 6512AJ,Complainer
 5041CL,Defendant
 5044BT,Defendant
 3082KG,Defendant
 2525VK,Defendant
 1102NA,Defendant
 4817DD,Defendant
 3314LH,Defendant
 2331EZ,Defendant
 1057TK,Complainer
 1074BS,Defendant
 8924CT,Complainer
 1056KJ,Complainer
 6828DT,Defendant
 1063HR,Complainer
 1031BD,Complainer
 3514VT,Complainer
 1078JR,Complainer
 1025PK,Complainer
 3073EM,Complainer
 1025RE,Complainer
 7311EW,Defendant
 1078HL,Complainer
 1521MG,Defendant
 2042JJ,Defendant
 6828DT,Defendant
 9402EB,Complainer
 1312HL,Defendant
 1097SM,Defendant
 1078KG,Complainer
 1058TS,Complainer
 3072VR,Complainer
 8032GE,Complainer
 3117VR,Complainer
 1013NA,Complainer
 6291BC,Complainer
 1072NT,Complainer
 2565SC,Complainer
 5623AK,Defendant
 1783JA,Defendant
 1057EM,Complainer
 5508AW,Defendant
 8924CT,Complainer
 1015KN,Complainer
 8924CT,Complainer
 6017AG,Complainer
 1075NS,Complainer
 6531HX,Complainer
 6531HX,Complainer
 1075NS,Complainer
 6531HX,Defendant
 6531HX,Complainer
 4611CH,Complainer
 3513EP,Complainer
 6531HX,Complainer
 6531HX,Complainer
 6531HX,Complainer
 1075NS,Complainer
 1075NS,Defendant
 1078PC,Complainer
 1032CW,Defendant
 2032SE,Defendant
 6531HX,Complainer
 3526TM,Complainer
 1079TD,Defendant
 7522NM,Defendant
 9722GB,Complainer
 1106EN,Complainer
 n.v.t ,Complainer
 6531HX,Complainer
 6531HX,Complainer
 6531HX,Complainer
 6531HX,Complainer
 6531HX,Complainer
 6531HX,Complainer
 7316GG,Defendant
 2316RV,Defendant
 1015GH,Complainer
 6703GE,Defendant
 3081RR,Defendant
 3083LC,Defendant
 9722GB,Complainer
 1181KZ,Complainer
 1181KZ,Defendant
 1065KK,Complainer
 2517EX,Defendant
 2517AB,Defendant
 3072NX,Complainer
 8225AE,Complainer
 1544RK,Defendant
 3013AS,Complainer
 3051GC,Complainer
 1391DR,Complainer
 1054ZN,Defendant
 1073JD,Defendant
 2314TL,Defendant
 6531HX,Defendant
 1033HX,Defendant
 6531HX,Defendant
 6531HX,Defendant
 6531HX,Complainer
 1078JV,Defendant
 2316SX,Complainer
 2941SB,Defendant
 2352BD,Complainer
 2807MV,Defendant
 3119GA,Defendant
 3531GD,Defendant
 3083XP,Defendant
 3083XP,Defendant
 2593TD,Defendant
 9722EG,Defendant
 9722EG,Defendant
 9722EG,Defendant
 3086TA,Complainer
 9722EG,Defendant
 3437VJ,Defendant
 3079NC,Complainer
 2593TD,Defendant
 3531CC,Complainer
 3038AN,Complainer
 3039HB,Defendant
 3531CC,Complainer
 1033KG,Complainer
 1944HE,Complainer
 3991NP,Complainer
 3871GK,Defendant
 1353HK,Complainer
 1079KB,Complainer
 9781AP,Defendant
 9724CA,Complainer
 1018CN,Defendant
 3078XG,Complainer
 3034ZD,Defendant
 3526SK,Defendant
 1019TW,Complainer
 6831MP,Defendant
 6715GL,Defendant
 1051KX,Complainer
 8913HA,Complainer
 2316NH,Defendant
 5341KK,Defendant
 3074EN,Complainer
 3362ET,Defendant
 1508XD,Complainer
 3526SK,Complainer
 4007HA,Defendant
 6813EA,Complainer
 2525XN,Defendant
 1061ET,Complainer
 5341KK,Defendant
 2571CK,Defendant
 2571CK,Defendant
 5615SV,Complainer
 5021BD,Complainer
 9642CD,Defendant
