Zip,Winner,RentBefore,RentAfter,RentLowered,Complainer,Year
9712CW,Complainer,365,"109,5",,Huurder,2018
2034RV,Complainer,,,,Huurder,2018
3511BP,Complainer,,,,Huurder,2018
3511BP,Complainer,,,,Huurder,2018
3523XC,Complainer,775,"426,25",,Huurder,2018
1057WZ,Defendant,"439,94","439,94",,Huurder,2018
1065VS,Defendant,"455,68","455,68",,Huurder,2018
1071LZ,Defendant,"1050,73","1050,73",,Huurder,2018
1056RZ,Defendant,"414,44","414,44",,Huurder,2018
1082TL,Defendant,,,,Huurder,2018
1013LA,Complainer,,,,Huurder,2018
2011NH,Defendant,,,,Huurder,2018
1067CP,Defendant,,,,Huurder,2018
1071ZJ,Complainer,"688,98","413,39",,Huurder,2018
1505AS,Defendant,"526,05","526,05",,Huurder,2018
2512XR,Complainer,"670,67","488,24",,Huurder,2018
2033LL,Defendant,"371,64","371,64",,Huurder,2018
3014EB,Complainer,,,,Huurder,2018
3051LK,Complainer,"732,94","694,23",,Huurder,2018
3081BX,Defendant,"456,19","456,19",,Huurder,2018
1061AZ,Defendant,715,715,,Huurder,2018
1183PT,Defendant,,,,Huurder,2018
3262HJ,Complainer,"423,25",0,,Verhuurder,2018
2711HG,Defendant,850,"714,97",,Huurder,2018
3085GT,Complainer,"544,98","544,98",,Huurder,2018
2511AG,Complainer,"531,95","159,59",,Huurder,2018
3114BS,Complainer,596,"357,6",,Huurder,2018
3022GB,Complainer,"569,74","455,79",,Huurder,2018
3214AC,Complainer,470,423,,Huurder,2018
3073GG,Complainer,550,"388,27",,Huurder,2018
9712NK,Complainer,,,,Huurder,2018
1151BR,Defendant,"214,45","214,45",,Huurder,2018
1024VS,Defendant,1050,1050,,Huurder,2018
1024VS,Defendant,1050,1050,,Huurder,2018
3011TL,Complainer,"404,42","378,89",,Huurder,2018
5616NL,Defendant,"545,6","545,6",,Huurder,2018
3074ZN,Complainer,,,,Huurder,2018
8243KE,Defendant,638,638,,Huurder,2018
3035HC,Defendant,0,0,,Huurder,2018
